,symbol,nameEN,nameTH,marketName,industryName,sectorName
0,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,TECH,ICT
1,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SET,SERVICE,TRANS
2,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),SET,PROPCON,PROP
3,BANPU,BANPU PUBLIC COMPANY LIMITED,บริษัท บ้านปู จำกัด (มหาชน),SET,RESOURC,ENERG
4,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,ธนาคารกรุงเทพ จำกัด (มหาชน),SET,FINCIAL,BANK
5,BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),SET,SERVICE,HELTH
6,BEM,BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),SET,SERVICE,TRANS
7,BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),SET,RESOURC,ENERG
8,BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),SET,SERVICE,HELTH
9,BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,SERVICE,TRANS
10,CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),SET,AGRO,FOOD
11,CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),SET,SERVICE,TOURISM
12,COM7,COM7 PUBLIC COMPANY LIMITED,บริษัท คอมเซเว่น จำกัด (มหาชน),SET,SERVICE,COMM
13,CPALL,CP ALL PUBLIC COMPANY LIMITED,บริษัท ซีพี ออลล์ จำกัด (มหาชน),SET,SERVICE,COMM
14,CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),SET,AGRO,FOOD
15,CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),SET,PROPCON,PROP
16,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,SERVICE,COMM
17,DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ETRON
18,EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),SET,RESOURC,ENERG
19,EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),SET,RESOURC,ENERG
20,GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน),SET,SERVICE,COMM
21,GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG
22,GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,RESOURC,ENERG
23,HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),SET,SERVICE,COMM
24,INTUCH,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED,บริษัท อินทัช โฮลดิ้งส์ จำกัด (มหาชน),SET,TECH,ICT
25,IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน),SET,INDUS,PETRO
